State,Kerry,Bush,Date,Pollster
AL,39,57,Oct 25,SurveyUSA
AL,32,56,Oct 12,Capital Survey
AL,34,62,Oct 01,SurveyUSA
AL,40,54,Sep 14,ARG
AL,42,53,Sep 06,Rasmussen
AL,37,58,Aug 23,Survey USA
AL,34,51,Aug 12,Capital Survey
AL,34,56,Jul 28,Capital Survey
AL,38,52,Jun 30,Rasmussen
AL,35,54,May 27,Capital Survey
AK,30,57,Sep 09,ARG
AK,33,56,Jun 30,Dittman Research
AZ,41,56,Oct 28,SurveyUSA
AZ,45,50,Oct 19,Arizona State Univ.
AZ,40,47,Oct 18,Market Solutions
AZ,43,54,Oct 17,SurveyUSA
AZ,47,50,Oct 15,Zogby
AZ,44,49,Oct 09,Northern Arizona Univ.
AZ,41,55,Oct 05,Survey
AZ,38,48,Oct 02,Arizona State Univ.
AZ,47,50,Oct 02,Zogby
AZ,44,53,Sep 27,SurveyUSA
AZ,38,49,Sep 24,Arizona State Univ.
AZ,43,54,Sep 21,SurveyUSA
AZ,48,49,Sep 14,Zogby
AZ,39,50,Sep 13,Mason-Dixon
AZ,43,49,Sep 12,ARG
AZ,45,48,Aug 01,Market Solutions
AZ,36,48,Jul 14,Survey USA
AZ,41,44,Jun 19,Market Solutions
AZ,37,45,May 05,Rocky Mountain
AR,46,51,Nov 00,SurveyUSA
AR,43,51,Oct 27,Mason-Dixon
AR,45,51,Oct 23,SurveyUSA
AR,48,48,Oct 18,Opinion Research
AR,46,51,Oct 15,SurveyUSA
AR,48,50,Oct 15,Zogby
AR,45,46,Oct 10,Zogby
AR,43,52,Oct 04,Opinion Research
AR,47,47,Oct 02,Zogby
AR,44,53,Oct 01,SurveyUSA
AR,44,53,Sep 27,SurveyUSA
AR,44,51,Sep 18,Rasmussen
AR,45,48,Sep 15,ARG
AR,47,47,Sep 14,Zogby
AR,47,48,Aug 22,Survey USA
AR,46,48,Jul 30,Zogby
AR,45,47,Jul 23,Zogby
AR,45,47,Jul 10,Zogby
AR,47,45,Jun 20,Zogby
AR,43,51,Jun 06,Zogby
AR,45,49,May 23,Zogby
CA,54,43,Oct 29,SurveyUSA
CA,49,42,Oct 23,Field Poll
CA,53,44,Oct 22,SurveyUSA
CA,57,39,Oct 15,LA Times
CA,51,43,Oct 02,SurveyUSA
CA,49,40,Oct 01,Field Poll
CA,53,42,Sep 30,Rasmussen
CA,53,40,Sep 18,Los Angeles Times
CA,51,39,Sep 15,Public Policy Institute
CA,55,39,Sep 12,Rasmussen
CA,52,41,Sep 11,ARG
CA,52,42,Sep 06,SurveyUSA
CA,51,42,Aug 26,Rasmussen
CA,49,46,Aug 18,Survey USA
CA,51,40,Aug 04,Field Poll
CA,49,38,Jul 25,Survey USA
CA,49,38,Jul 14,Public Policy Institute
CA,52,38,Jun 30,Rasmussen
CA,51,39,May 24,Field Poll
CO,47,50,Oct 31,SurveyUSA
CO,47,49,Oct 30,Zogby
CO,46,52,Oct 28,SurveyUSA
CO,43,50,Oct 27,Mason-Dixon
CO,49,47,Oct 24,Zogby
CO,45,52,Oct 18,SurveyUSA
CO,42,48,Oct 16,Ciruli
CO,47,49,Oct 15,Gallup
CO,48,49,Oct 15,Zogby
CO,43,49,Oct 14,Mason-Dixon
CO,44,52,Oct 05,SurveyUSA
CO,41,50,Oct 04,Mason-Dixon
CO,48,48,Oct 04,Gallup
CO,49,48,Oct 02,Zogby
CO,44,52,Sep 21,SurveyUSA
CO,39,51,Sep 15,Ciruli Associates
CO,45,46,Sep 15,Rasmussen
CO,48,49,Sep 14,Zogby
CO,45,46,Sep 11,ARG
CO,47,47,Aug 19,Rasmussen
CO,47,47,Aug 16,Survey USA
CO,43,48,Jun 18,Mason-Dixon
CO,44,49,Apr 14,Rasmussen
CO,40,49,Apr 01,Public Opinion Strat.
CT,47,38,Sep 26,Quinnipiac Univ.
CT,54,39,Sep 12,ARG
CT,45,38,Aug 17,Quinnipiac Univ.
CT,50,32,Jun 28,Quinnipiac Univ.
CT,46,36,Jun 01,Quinnipiac Univ.
CT,51,33,Apr 27,Univ. of Connecticut
DE,45,38,Sep 23,West Chester Univ.
DE,50,41,Sep 13,ARG
DC,78,11,Sep 11,ARG
FL,50,48,Oct 31,ARG
FL,48,48,Oct 30,Zogby
FL,49,44,Oct 30,Opinion Dynamics
FL,48,49,Oct 29,SurveyUSA
FL,43,51,Oct 28,Quinnipiac Univ.
FL,49,45,Oct 28,Gallup
FL,45,49,Oct 27,Mason-Dixon
FL,45,49,Oct 24,Zogby
FL,48,47,Oct 24,Florida Poll
FL,48,47,Oct 24,NY Times
FL,41,49,Oct 23,LA Times
FL,44,44,Oct 23,Quinnipiac Univ.
FL,49,46,Oct 23,ARG
FL,42,51,Oct 22,Gallup
FL,46,46,Oct 22,Insider Advantage
FL,50,48,Oct 22,SurveyUSA
FL,46,46,Oct 19,Insider Advantage
FL,46,46,Oct 19,Schroth
FL,43,45,Oct 16,Quinnipiac
FL,49,50,Oct 15,Zogby
FL,50,49,Oct 15,SurveyUSA
FL,45,48,Oct 14,Mason-Dixon
FL,45,43,Oct 12,Univ. of Northern Florida
FL,46,47,Oct 12,Rasmussen
FL,48,44,Oct 12,Insider Advantage
FL,46,48,Oct 10,Rasmussen
FL,47,47,Oct 06,WA Post
FL,44,48,Oct 04,Mason-Dixon
FL,47,45,Oct 03,American Res.Group
FL,47,45,Oct 03,ARG
FL,42,46,Oct 02,Quinnipiac Univ.
FL,49,47,Oct 02,Hamilton Beattie
FL,50,49,Oct 02,Zogby
FL,46,51,Oct 01,SurveyUSA
FL,45,51,Sep 30,Rasmussen
FL,44,49,Sep 25,Gallup
FL,41,49,Sep 19,Quinnipiac Univ.
FL,45,47,Sep 19,Gallup
FL,46,45,Sep 18,ARG
FL,48,48,Sep 14,Zogby
FL,45,51,Sep 12,SurveyUSA
FL,47,48,Sep 12,Rasmussen
FL,47,48,Sep 07,Rasmussen
FL,47,49,Aug 24,Rasmussen
FL,46,48,Aug 22,Gallup
FL,50,49,Aug 21,Zogby
FL,47,41,Aug 10,Quinnipiac Univ.
FL,50,43,Aug 05,ARG
FL,50,47,Jul 30,Zogby
FL,48,49,Jul 23,Zogby
FL,46,50,Jul 22,Gallup
FL,44,45,Jul 21,LA Times
FL,45,46,Jul 21,LA Times&Mason-Dix
FL,47,44,Jul 15,ARG
FL,47,44,Jul 11,Survey USA
FL,48,43,Jun 30,Rasmussen
FL,48,40,Jun 29,Rasmussen
FL,43,43,Jun 27,Quinnipiac Univ.
FL,47,46,Jun 23,ARG
FL,48,42,Jun 22,Rasmussen
FL,46,50,Jun 20,Zogby
FL,48,44,Jun 17,Rasmussen
FL,43,50,Jun 14,Survey USA
FL,50,48,Jun 06,Zogby
FL,49,48,May 23,Zogby
GA,43,55,Oct 28,SurveyUSA
GA,40,57,Oct 18,SurveyUSA
GA,41,51,Oct 13,Atlanta Journal
GA,41,51,Oct 13,Zogby
GA,39,58,Oct 05,SurveyUSA
GA,38,58,Sep 13,SurveyUSA
GA,42,53,Sep 11,ARG
GA,41,52,Jun 30,Rasmussen
GA,32,49,Jun 02,Inside Advantage
GA,39,51,May 31,Rasmussen
GA,44,47,Feb 09,Shapiro Res. Group
HI,45,46,Oct 18,SMS Research
HI,43,43,Oct 15,Ward Research
HI,51,41,Sep 08,ARG
HI,48,41,Aug 03,SMS Research
ID,30,59,Sep 08,ARG
ID,25,55,Jun 14,Greg Smith
IL,54,42,Oct 27,SurveyUSA
IL,50,42,Oct 17,Market Shares
IL,55,39,Oct 04,SurveyUSA
IL,49,40,Sep 18,Market Shares
IL,51,42,Sep 15,Rasmussen
IL,49,43,Sep 14,ARG
IL,49,45,Sep 12,SurveyUSA
IL,52,38,Aug 21,Market Shares
IL,54,39,Jul 30,Rasmussen
IL,53,37,Jun 30,Rasmussen
IL,52,39,Jun 09,Survey USA
IL,54,38,May 24,Survey USA
IN,37,57,Oct 27,Selzer
IN,39,58,Oct 27,SurveyUSA
IN,39,58,Oct 03,SurveyUSA
IN,33,61,Oct 00,Selzer
IN,39,54,Sep 17,ARG
IN,36,60,Sep 07,SurveyUSA
IN,40,52,Aug 18,Bellwether Research
IN,27,46,Jul 12,Market Research Inf.
IN,36,52,Jun 24,Bellwether
IN,33,54,May 19,Selzer & Co.
IA,50,47,Nov 00,SurveyUSA
IA,44,48,Oct 30,Opinion Dynamics
IA,50,45,Oct 30,Zogby
IA,45,47,Oct 28,Gallup
IA,49,49,Oct 28,SurveyUSA
IA,44,49,Oct 27,Selzer
IA,48,45,Oct 26,Selzer
IA,47,48,Oct 25,ARG
IA,45,45,Oct 24,Zogby
IA,48,47,Oct 23,Gallup
IA,45,51,Oct 18,SurveyUSA
IA,43,49,Oct 16,Mason-Dixon
IA,46,45,Oct 16,Central Surveys
IA,51,48,Oct 15,Zogby
IA,47,47,Oct 10,ARG
IA,45,47,Oct 09,Market Shares
IA,48,47,Oct 04,SurveyUSA
IA,43,46,Oct 03,Harstad
IA,51,45,Oct 02,Zogby
IA,48,47,Sep 30,Univ. of MN
IA,45,48,Sep 21,Opinion Dynamics
IA,43,48,Sep 17,Gallup
IA,45,48,Sep 15,Rasmussen
IA,42,48,Sep 14,Mason-Dixon
IA,49,47,Sep 14,Zogby
IA,46,48,Sep 12,ARG
IA,51,45,Aug 26,Gallup
IA,52,45,Aug 21,Zogby
IA,50,46,Jul 30,Zogby
IA,46,46,Jul 28,ARG
IA,49,48,Jul 23,Zogby
IA,48,44,Jul 12,Hubert Humphrey Inst
IA,48,47,Jul 10,Zogby
IA,48,44,Jun 30,Rasmussen
IA,49,47,Jun 20,Zogby
IA,49,48,Jun 06,Zogby
IA,46,42,May 25,Zogby
IA,45,50,May 23,Zogby
IA,47,46,Apr 21,ARG
KS,37,60,Oct 25,SurveyUSA
KS,30,59,Oct 23,Market Research
KS,38,57,Oct 09,SurveyUSA
KS,35,57,Sep 16,ARG
KS,35,60,Sep 07,SurveyUSA
KS,36,56,Jun 30,Survey USA
KS,39,57,Mar 04,Survey USA
KY,38,59,Oct 28,SurveyUSA
KY,39,56,Oct 18,Bluegrass Poll
KY,37,59,Oct 17,SurveyUSA
KY,38,57,Oct 04,SurveyUSA
KY,38,53,Sep 12,Bluegrass Poll
KY,39,57,Sep 09,ARG
KY,39,56,Sep 07,SurveyUSA
KY,39,56,Aug 15,Survey USA
KY,42,52,Jul 26,Survey USA
KY,39,52,Jun 08,Survey USA
LA,32,58,Oct 19,Southeastern La. Univ.
LA,37,52,Oct 17,Market Research
LA,40,48,Oct 16,Univ. of New Orleans
LA,32,50,Oct 12,SMOR
LA,36,51,Oct 05,Marketing Research
LA,42,50,Sep 18,ARG
LA,36,52,Jul 20,Market Research
LA,42,48,May 26,Market Research
LA,29,48,May 25,Market Research
LA,29,48,May 25,Multi-Quest
LA,38,52,Mar 29,Harris Deville
ME,52,44,Oct 28,SurveyUSA
ME,50,39,Oct 20,Zogby
ME,51,45,Oct 17,SurveyUSA
ME,49,47,Oct 03,SurveyUSA
ME,46,47,Sep 20,SurveyUSA
ME,45,42,Sep 16,Critical Insights
ME,43,43,Sep 08,Zogby
ME,48,44,Sep 08,ARG
ME,49,44,Aug 24,Survey USA
ME,48,44,Jul 31,Rasmussen
ME,46,45,Jun 30,Rasmussen
ME,54,35,May 31,Rasmussen
ME,49,39,May 20,Critical Insight
ME,51,38,Mar 03,Other
MD,54,43,Oct 27,SurveyUSA
MD,56,39,Oct 25,Ipsos
MD,56,41,Oct 05,SurveyUSA
MD,52,42,Oct 02,Gonzales Res.
MD,48,48,Sep 17,SurveyUSA
MD,52,43,Sep 07,ARG
MD,53,42,Aug 25,Survey USA
MD,53,40,Aug 15,Gonzales Res.
MD,53,39,Jun 30,Rasmussen
MD,52,38,Jun 09,Gonzales Res.
MD,48,43,Mar 24,Gonzales Res.
MA,50,36,Sep 30,Merrimack Coll.
MA,64,27,Sep 11,ARG
MA,56,30,Jul 28,Center for Public Opin.
MA,59,30,Jul 18,Suffolk University
MA,60,31,Jun 30,Rasmussen
MA,54,30,May 06,Univ. of Mass.
MI,52,46,Oct 30,Zogby
MI,50,47,Oct 28,SurveyUSA
MI,47,45,Oct 27,Mason-Dixon
MI,43,41,Oct 26,Mitchell Research
MI,49,44,Oct 24,Zogby
MI,45,44,Oct 22,Mitchell Research
MI,42,47,Oct 19,Mitchell Research
MI,49,43,Oct 19,EPIC-MRA
MI,43,47,Oct 18,Mitchell Research
MI,51,44,Oct 18,SurveyUSA
MI,47,46,Oct 16,Mason-Dixon
MI,53,46,Oct 15,Zogby
MI,49,45,Oct 12,Rasmussen
MI,47,45,Oct 10,Rasmussen
MI,52,42,Oct 04,SurveyUSA
MI,54,44,Oct 02,Zogby
MI,47,47,Sep 30,Rasmussen
MI,48,46,Sep 24,Detroit Free Press
MI,45,43,Sep 21,Marketing Resource Grp.
MI,46,44,Sep 21,Opinion Dynamics
MI,49,44,Sep 19,Rasmussen
MI,48,40,Sep 18,ARG
MI,48,44,Sep 16,EPIC-MRA
MI,47,41,Sep 14,Mason-Dixon
MI,48,46,Sep 12,Rasmussen
MI,50,44,Sep 11,Gallup
MI,50,45,Sep 07,Rasmussen
MI,48,45,Sep 05,Rasmussen
MI,48,45,Aug 24,Survey USA
MI,51,45,Aug 21,Zogby
MI,48,45,Aug 19,ARG
MI,49,42,Aug 10,EPIC/MRA
MI,52,41,Aug 04,Survey USA
MI,52,45,Jul 30,Zogby
MI,53,44,Jul 23,Zogby
MI,50,44,Jul 10,Zogby
MI,49,44,Jul 08,American Res&EPIC
MI,47,43,Jun 30,SurveyUSA&Mitchell
MI,51,41,Jun 30,Survey USA
MI,40,42,Jun 23,Fox/Opinion Dyn.
MI,46,47,Jun 20,Zogby
MI,42,44,Jun 08,LA Times
MI,45,43,Jun 06,EPIC/MRA
MI,47,43,Jun 02,Survey USA
MI,50,41,May 23,Zogby
MN,51,45,Oct 30,Zogby
MN,51,43,Oct 29,Gallup
MN,51,43,Oct 28,Gallup
MN,47,48,Oct 27,Mason-Dixon
MN,49,41,Oct 27,Star-Tribune
MN,46,44,Oct 24,Zogby
MN,44,47,Oct 23,Univ. of Minnesota
MN,46,42,Oct 21,St. Cloud State Univ.
MN,45,47,Oct 16,Mason-Dixon
MN,54,43,Oct 15,Zogby
MN,47,47,Oct 12,Rasmussen
MN,49,45,Oct 10,Rasmussen
MN,45,43,Oct 09,Market Shares
MN,48,43,Oct 09,Star Tribune
MN,52,44,Oct 02,Zogby
MN,48,45,Sep 30,Rasmussen
MN,46,46,Sep 19,Rasmussen
MN,46,46,Sep 18,Rasmussen
MN,52,42,Sep 14,Zogby
MN,45,45,Sep 12,Gallup
MN,45,46,Sep 12,Mason-Dixon
MN,47,45,Sep 10,ARG
MN,50,41,Sep 09,Market Solutions
MN,50,45,Aug 21,Zogby
MN,52,44,Jul 30,Zogby
MN,46,44,Jul 14,Mason-Dixon
MN,47,44,Jul 12,Hubert Humphrey Inst
MN,49,44,Jul 10,Zogby
MN,50,45,Jun 20,Zogby
MN,51,44,Jun 06,Zogby
MN,44,41,May 26,Zogby
MN,51,42,May 23,Zogby
MS,42,51,Sep 15,ARG
MO,47,52,Oct 29,Survey
MO,44,49,Oct 27,Mason-Dixon
MO,45,49,Oct 23,Market Research
MO,45,52,Oct 23,SurveyUSA
MO,45,51,Oct 16,SurveyUSA
MO,48,51,Oct 15,Zogby
MO,44,49,Oct 14,Mason-Dixon
MO,47,49,Oct 02,SurveyUSA
MO,48,50,Oct 02,Zogby
MO,44,50,Sep 17,ARG
MO,41,48,Sep 14,Mason-Dixon
MO,46,51,Sep 14,Zogby
MO,46,48,Sep 07,SurveyUSA
MO,41,55,Sep 04,Gallup
MO,44,46,Aug 24,LA Times
MO,49,49,Aug 21,Zogby
MO,47,48,Aug 17,Survey USA
MO,49,48,Jul 30,Zogby
MO,49,48,Jul 23,Zogby
MO,46,44,Jul 20,Market Research Inst.
MO,50,47,Jul 10,Zogby
MO,46,48,Jul 08,Survey USA
MO,44,48,Jun 30,Rasmussen
MO,48,49,Jun 20,Zogby
MO,37,48,Jun 08,LA Times
MO,47,44,May 23,Zogby
MT,36,57,Oct 18,Mason-Dixon
MT,34,55,Oct 08,Montana State Univ.
MT,36,54,Sep 20,Mason-Dixon
MT,32,60,Sep 07,ARG
MT,33,53,May 26,Mason-Dixon
NE,32,61,Oct 17,RKM Research
NE,30,61,Sep 10,ARG
NV,45,53,Oct 31,SurveyUSA
NV,45,50,Oct 30,Zogby
NV,49,49,Oct 28,SurveyUSA
NV,44,50,Oct 27,Mason-Dixon
NV,46,49,Oct 24,Zogby
NV,41,45,Oct 17,Belden Russenello
NV,45,52,Oct 16,SurveyUSA
NV,46,50,Oct 15,Zogby
NV,42,52,Oct 14,Mason-Dixon
NV,48,47,Oct 02,Zogby
NV,46,50,Oct 01,SurveyUSA
NV,44,48,Sep 23,Belden Russenello
NV,46,48,Sep 19,Gallup
NV,47,49,Sep 14,Zogby
NV,45,47,Sep 13,Rasmussen
NV,45,50,Sep 13,Mason-Dixon
NV,45,47,Sep 12,ARG
NV,47,51,Sep 11,SurveyUSA
NV,48,46,Aug 21,Zogby
NV,46,47,Aug 16,Rasmussen
