Poll	Date	Sample	MoE	Obama (D)	Romney (R)	Spread
RCP Average	9/24 - 10/1	--	--	49.1	45.1	Obama +4.0
Rasmussen Tracking	9/29 - 10/1	1500 LV	3.0	48	47	Obama +1
CNN/Opinion Research	9/28 - 9/30	783 LV	3.5	50	47	Obama +3
Gallup Tracking	9/25 - 10/1	3050 RV	2.0	50	44	Obama +6
Quinnipiac	9/25 - 9/30	1912 LV	2.2	49	45	Obama +4
Wash Times/JZ Analytics	9/27 - 9/29	800 LV	3.5	50	41	Obama +9
ABC News/Wash Post	9/26 - 9/29	813 LV	4.0	49	47	Obama +2
Politico/GWU/Battleground	9/24 - 9/27	1000 LV	3.1	49	47	Obama +2
FOX News	9/24 - 9/26	1092 LV	3.0	48	43	Obama +5
Bloomberg	9/21 - 9/24	789 LV	3.5	49	43	Obama +6
Politico/GWU/Battleground	9/16 - 9/20	1000 LV	3.1	50	47	Obama +3
National Journal	9/15 - 9/19	1055 LV	3.0	50	43	Obama +7
Associated Press/GfK	9/13 - 9/17	807 LV	4.3	47	46	Obama +1
Hartford Courant/UConn	9/11 - 9/18	1186 LV	3.0	46	43	Obama +3
Rasmussen Tracking	9/14 - 9/16	1500 LV	3.0	45	47	Romney +2
Reason-Rupe/PSRAI	9/13 - 9/17	787 LV	4.3	52	45	Obama +7
Monmouth/SurveyUSA/Braun	9/13 - 9/16	1344 LV	2.7	48	45	Obama +3
Gallup Tracking	9/11 - 9/17	3050 RV	2.0	47	46	Obama +1
NBC News/Wall St. Jrnl	9/12 - 9/16	736 LV	3.6	50	45	Obama +5
Pew Research/PSRAI	9/12 - 9/16	2268 LV	2.4	51	43	Obama +8
FOX News	9/9 - 9/11	1056 LV	3.0	48	43	Obama +5
CBS News/NY Times	9/8 - 9/12	1162 LV	3.0	49	46	Obama +3
Democracy Corps (D)	9/8 - 9/12	1000 LV	3.1	50	45	Obama +5
Esquire/Yahoo! News	9/7 - 9/10	724 LV	5.0	50	46	Obama +4
Reuters/Ipsos	9/7 - 9/10	873 LV	3.4	48	45	Obama +3
Gallup Tracking	9/5 - 9/11	3050 RV	2.0	50	43	Obama +7
Rasmussen Tracking	9/7 - 9/9	1500 LV	3.0	50	45	Obama +5
ABC News/Wash Post	9/7 - 9/9	710 LV	4.5	49	48	Obama +1
CNN/Opinion Research	9/7 - 9/9	709 LV	3.5	52	46	Obama +6
IBD/CSM/TIPP	9/4 - 9/9	808 RV	3.5	46	44	Obama +2
CNN/Opinion Research	8/31 - 9/3	735 LV	3.5	48	48	Tie
Democracy Corps (D)	8/23 - 8/27	1000 LV	3.1	49	47	Obama +2
CBS News	8/22 - 8/26	1051 RV	3.0	46	45	Obama +1
Gallup Tracking	8/21 - 8/27	3050 RV	2.0	46	47	Romney +1
Rasmussen Tracking	8/23 - 8/25	1500 LV	3.0	47	45	Obama +2
ABC News/Wash Post	8/22 - 8/25	857 RV	4.0	46	47	Romney +1
CNN/Opinion Research	8/22 - 8/23	719 LV	3.5	49	47	Obama +2
FOX News	8/19 - 8/21	1007 LV	3.0	44	45	Romney +1
Resurgent Republic (R)	8/16 - 8/22	1000 LV	3.1	46	45	Obama +1
Associated Press/GfK	8/16 - 8/20	885 RV	4.1	47	46	Obama +1
NBC News/Wall St. Jrnl	8/16 - 8/20	1000 RV	3.1	48	44	Obama +4
Monmouth/SurveyUSA/Braun	8/15 - 8/19	1149 LV	2.9	46	45	Obama +1
LA Times/USC	8/13 - 8/19	954 LV	3.2	48	46	Obama +2
Rasmussen Reports	8/8 - 8/10	1500 LV	3.0	44	46	Romney +2
Gallup	8/6 - 8/12	3050 RV	2.0	46	46	Tie
CNN/Opinion Research	8/7 - 8/8	911 RV	3.5	52	45	Obama +7
Politico/GWU/Battleground	8/5 - 8/9	1000 LV	3.1	48	47	Obama +1
FOX News	8/5 - 8/7	930 RV	3.0	49	40	Obama +9
IBD/CSM/TIPP	8/3 - 8/10	828 RV	3.5	46	39	Obama +7
Reuters/Ipsos	8/2 - 8/6	1014 RV	3.4	49	42	Obama +7
Rasmussen Reports	7/29 - 7/31	1500 LV	3.0	44	47	Romney +3
Gallup	7/24 - 7/31	3050 RV	2.0	47	45	Obama +2
Democracy Corps (D)	7/21 - 7/25	700 LV	3.7	50	46	Obama +4
Pew Research	7/16 - 7/26	1956 RV	3.2	51	41	Obama +10
NBC News/Wall St. Jrnl	7/18 - 7/22	1000 RV	3.1	49	43	Obama +6
FOX News	7/15 - 7/17	901 RV	3.0	45	41	Obama +4
CBS News/NY Times	7/11 - 7/16	942 RV	3.0	46	47	Romney +1
Rasmussen Reports	7/12 - 7/14	1500 LV	3.0	45	45	Tie
Gallup	7/8 - 7/14	3050 RV	2.0	47	45	Obama +2
NPR	7/9 - 7/12	1000 LV	3.1	47	45	Obama +2
McClatchy/Marist	7/9 - 7/11	849 RV	3.5	48	46	Obama +2
WashTimes/JZ Analytics*	7/6 - 7/8	800 LV	3.5	42	43	Romney +1
Reuters/Ipsos	7/5 - 7/9	885 RV	3.4	49	43	Obama +6
ABC News/Wash Post	7/5 - 7/8	RV	4.0	47	47	Tie
Quinnipiac	7/1 - 7/8	2722 RV	1.9	46	43	Obama +3
Rasmussen Reports	7/2 - 7/6	1500 LV	3.0	45	45	Tie
Gallup	7/1 - 7/8	3050 RV	2.0	47	45	Obama +2
Pew Research	6/28 - 7/9	2373 RV	2.3	50	43	Obama +7
CNN/Opinion Research	6/28 - 7/1	1390 RV	2.5	49	46	Obama +3
Newsweek/Daily Beast	6/28 - 6/28	600 LV	4.0	47	44	Obama +3
Democracy Corps (D)	6/23 - 6/27	1000 LV	3.1	49	46	Obama +3
FOX News	6/24 - 6/26	912 RV	3.0	45	40	Obama +5
NBC News/Wall St. Jrnl	6/20 - 6/24	819 RV	3.4	47	44	Obama +3
Rasmussen Reports	6/18 - 6/20	1500 LV	3.0	43	47	Romney +4
Gallup	6/14 - 6/20	3050 RV	2.0	45	47	Romney +2
Bloomberg	6/15 - 6/18	734 LV	3.6	53	40	Obama +13
Associated Press/GfK	6/14 - 6/18	878 RV	4.2	47	44	Obama +3
Pew Research	6/7 - 6/17	1563 RV	2.9	50	46	Obama +4
Reuters/Ipsos	6/7 - 6/11	848 RV	3.4	45	44	Obama +1
Monmouth/SurveyUSA/Braun	6/4 - 6/6	1152 LV	2.9	47	46	Obama +1
Rasmussen Reports	6/4 - 6/6	1500 LV	3.0	46	46	Tie
Gallup	6/2 - 6/8	3050 RV	2.0	46	45	Obama +1
FOX News	6/3 - 6/5	907 RV	3.0	43	43	Tie
IBD/CSM/TIPP	6/1 - 6/8	841 RV	3.5	46	42	Obama +4
CNN/Opinion Research	5/29 - 5/31	895 RV	3.5	49	46	Obama +3
ABC News/Wash Post	5/17 - 5/20	874 RV	4.0	49	46	Obama +3
NBC News/Wall St. Jrnl	5/16 - 5/20	RV	--	47	43	Obama +4
Pew Research	5/9 - 6/3	2388 RV	2.3	49	42	Obama +7
Rasmussen Reports	5/14 - 5/16	1500 LV	3.0	45	46	Romney +1
Gallup	5/11 - 5/17	3050 RV	--	45	46	Romney +1
FOX News	5/13 - 5/15	913 RV	3.0	46	39	Obama +7
IBD/CSM/TIPP	5/9 - 5/16	778 RV	3.6	43	40	Obama +3
Mason-Dixon	5/10 - 5/14	1000 LV	3.0	44	47	Romney +3
CBS News/NY Times**	5/11 - 5/13	562 RV	4.0	43	46	Romney +3
WashTimes/JZ Analytics*	5/11 - 5/12	800 LV	3.5	43	44	Romney +1
Gallup	5/3 - 5/9	3000 RV	2.0	44	47	Romney +3
Associated Press/GfK	5/3 - 5/7	871 RV	4.2	50	42	Obama +8
Reuters/Ipsos	5/3 - 5/7	959 RV	3.2	49	42	Obama +7
Rasmussen Reports	5/4 - 5/6	1500 LV	3.0	45	47	Romney +2
Resurgent Republic (R)	4/30 - 5/3	1000 RV	3.1	49	42	Obama +7
Politico/GWU/Battleground	4/29 - 5/3	1000 LV	3.1	47	48	Romney +1
IBD/CSM/TIPP	4/27 - 5/4	856 RV	3.3	46	43	Obama +3
Democracy Corps (D)	4/28 - 5/1	1000 LV	4.0	47	47	Tie
Gallup	4/23 - 4/28	2200 RV	3.0	47	46	Obama +1
Rasmussen Reports	4/25 - 4/27	1500 LV	3.0	47	45	Obama +2
FOX News	4/22 - 4/24	915 RV	3.0	46	46	Tie
National Journal	4/19 - 4/22	1004 A	3.7	47	39	Obama +8
NBC News/Wall St. Jrnl	4/13 - 4/17	RV	--	49	43	Obama +6
CBS News/NY Times	4/13 - 4/17	852 RV	3.0	46	46	Tie
Quinnipiac	4/11 - 4/17	2577 RV	1.9	46	42	Obama +4
Gallup	4/12 - 4/16	2200 RV	3.0	43	48	Romney +5
CNN/Opinion Research	4/13 - 4/15	910 RV	3.5	52	43	Obama +9
Rasmussen Reports	4/13 - 4/15	1500 LV	3.0	44	47	Romney +3
Reuters/Ipsos	4/12 - 4/15	891 RV	3.3	47	43	Obama +4
PPP (D)	4/12 - 4/15	900 RV	3.3	49	46	Obama +3
Pew Research	4/4 - 4/15	2373 RV	2.3	49	45	Obama +4
FOX News	4/9 - 4/11	910 RV	3.0	44	46	Romney +2
Rasmussen Reports	4/6 - 4/8	1500 LV	3.0	46	44	Obama +2
ABC News/Wash Post	4/5 - 4/8	RV	--	51	44	Obama +7
IBD/CSM/TIPP	3/30 - 4/5	816 RV	3.3	46	38	Obama +8
USA Today/Gallup	3/25 - 3/26	901 RV	4.0	49	45	Obama +4
CNN/Opinion Research	3/24 - 3/25	925 RV	3.0	54	43	Obama +11
Rasmussen Reports	3/23 - 3/25	1500 LV	3.0	46	43	Obama +3
McClatchy/Marist	3/20 - 3/22	846 RV	3.5	46	44	Obama +2
PPP (D)	3/15 - 3/17	900 RV	3.3	48	44	Obama +4
Reason-Rupe	3/10 - 3/20	1200 A	3.0	46	40	Obama +6
FOX News	3/10 - 3/12	912 RV	3.0	46	42	Obama +4
Reuters/Ipsos	3/8 - 3/11	937 RV	3.3	52	41	Obama +11
Bloomberg	3/8 - 3/11	746 LV	3.6	47	47	Tie
Pew Research	3/7 - 3/11	1188 RV	3.5	54	42	Obama +12
Rasmussen Reports	3/8 - 3/10	1500 LV	3.0	42	48	Romney +6
CBS News/NY Times	3/7 - 3/11	878 RV	3.0	47	44	Obama +3
ABC News/Wash Post	3/7 - 3/10	RV	--	47	49	Romney +2
IBD/CSM/TIPP	3/4 - 3/11	807 RV	3.3	46	41	Obama +5
NBC News/Wall St. Jrnl	2/29 - 3/3	RV	--	50	44	Obama +6
Politico/GWU/Battleground	2/19 - 2/22	1000 LV	3.1	53	43	Obama +10
USA Today/Gallup	2/20 - 2/21	881 RV	4.0	47	47	Tie
Associated Press/GfK	2/16 - 2/20	1000 A	4.1	51	43	Obama +8
USA Today/Gallup	2/16 - 2/19	898 RV	4.0	46	50	Romney +4
Rasmussen Reports	2/16 - 2/18	1500 LV	3.0	47	43	Obama +4
Quinnipiac	2/14 - 2/20	2605 RV	1.9	46	44	Obama +2
Democracy Corps (D)	2/11 - 2/14	1000 LV	3.1	49	45	Obama +4
CNN/Opinion Research	2/10 - 2/13	937 RV	3.0	51	46	Obama +5
CBS News/NY Times	2/8 - 2/13	1604 RV	3.0	48	42	Obama +6
PPP (D)	2/9 - 2/12	1200 RV	2.8	49	42	Obama +7
Pew Research	2/8 - 2/12	1172 RV	3.5	52	44	Obama +8
Rasmussen Reports	2/7 - 2/9	1500 LV	3.0	50	40	Obama +10
FOX News	2/6 - 2/9	1110 RV	3.0	47	42	Obama +5
Reuters/Ipsos	2/2 - 2/6	881 RV	3.3	48	42	Obama +6
ABC News/Wash Post	2/1 - 2/4	879 RV	4.0	51	45	Obama +6
IBD/CSM/TIPP	1/29 - 2/4	852 RV	3.3	47	41	Obama +6
Rasmussen Reports	1/31 - 2/2	1500 LV	3.0	45	45	Tie
USA Today/Gallup	1/27 - 1/28	907 RV	4.0	48	48	Tie
NBC News/Wall St. Jrnl	1/22 - 1/24	RV	--	49	43	Obama +6
Rasmussen Reports	1/19 - 1/21	1500 LV	3.0	46	43	Obama +3
PPP (D)	1/13 - 1/16	700 RV	3.7	49	44	Obama +5
CBS News/NY Times	1/12 - 1/16	1021 RV	3.0	45	45	Tie
ABC News/Wash Post	1/12 - 1/15	RV	--	46	48	Romney +2
Pew Research	1/11 - 1/16	1207 RV	3.5	50	45	Obama +5
FOX News	1/12 - 1/14	906 RV	3.0	46	45	Obama +1
CNN/Opinion Research	1/11 - 1/12	928 RV	3.0	47	48	Romney +1
Democracy Corps (D)	1/8 - 1/11	1000 LV	3.1	47	46	Obama +1
Rasmussen Reports	1/9 - 1/10	1000 LV	3.0	44	41	Obama +3
Reuters/Ipsos	1/5 - 1/9	896 RV	3.2	48	43	Obama +5
CBS News	1/4 - 1/8	1247 RV	3.0	45	47	Romney +2
Rasmussen Reports	1/3 - 1/4	1000 LV	3.0	42	42	Tie
Rasmussen Reports	12/27 - 12/28	1000 LV	3.0	39	45	Romney +6
Rasmussen Reports	12/20 - 12/21	1000 LV	3.0	44	41	Obama +3
CNN/Opinion Research	12/16 - 12/18	928 RV	3.0	52	45	Obama +7
PPP (D)	12/16 - 12/18	700 RV	3.7	45	47	Romney +2
ABC News/Wash Post	12/15 - 12/18	RV	--	47	47	Tie
USA Today/Gallup	12/15 - 12/18	898 RV	4.0	50	48	Obama +2
Rasmussen Reports	12/14 - 12/15	1000 LV	3.0	42	43	Romney +1
Reuters/Ipsos	12/8 - 12/12	921 RV	3.2	48	40	Obama +8
Associated Press/GfK	12/8 - 12/12	1000 A	4.0	47	46	Obama +1
NBC News/Wall St. Jrnl	12/7 - 12/11	RV	--	47	45	Obama +2
Rasmussen Reports	12/8 - 12/9	1000 LV	3.0	42	45	Romney +3
USA Today/Gallup	12/6 - 12/7	883 RV	4.0	47	46	Obama +1
FOX News	12/5 - 12/7	911 RV	3.0	44	42	Obama +2
Rasmussen Reports	11/30 - 12/1	1000 LV	3.0	42	40	Obama +2
Rasmussen Reports	11/21 - 11/22	1000 LV	3.0	44	38	Obama +6
Quinnipiac	11/14 - 11/20	2552 RV	1.9	45	44	Obama +1
FOX News	11/13 - 11/15	914 RV	3.0	42	44	Romney +2
CNN/Opinion Research	11/11 - 11/13	925 RV	3.0	47	51	Romney +4
Pew Research	11/9 - 11/14	1576 RV	3.0	49	47	Obama +2
PPP (D)	11/10 - 11/13	800 RV	3.5	46	43	Obama +3
Rasmussen Reports	11/9 - 11/10	1000 LV	3.0	43	42	Obama +1
McClatchy/Marist	11/8 - 11/10	872 RV	3.5	48	44	Obama +4
Politico/GWU/Battleground	11/6 - 11/9	1000 LV	3.1	49	43	Obama +6
NBC News/Wall St. Jrnl	11/2 - 11/5	RV	--	49	43	Obama +6
ABC News/Wash Post	10/31 - 11/3	RV	--	46	47	Romney +1
Reuters/Ipsos	10/31 - 11/3	937 RV	3.2	43	44	Romney +1
Rasmussen Reports	11/1 - 11/2	1000 LV	3.0	42	41	Obama +1
Quinnipiac	10/25 - 10/31	2294 RV	2.1	47	42	Obama +5
USA Today/Gallup	10/26 - 10/27	908 RV	4.0	47	47	Tie
Rasmussen Reports	10/24 - 10/25	1000 LV	3.0	42	44	Romney +2
Democracy Corps (D)	10/15 - 10/18	1000 LV	--	45	45	Tie
Rasmussen Reports	10/16 - 10/17	1000 LV	3.0	43	42	Obama +1
Associated Press/GfK	10/13 - 10/17	1000 A	4.0	48	45	Obama +3
Time	10/9 - 10/10	838 LV	--	48	44	Obama +4
PPP (D)	10/7 - 10/10	700 RV	3.7	45	45	Tie
NBC News/Wall St. Jrnl	10/6 - 10/10	RV	--	46	44	Obama +2
Rasmussen Reports	10/8 - 10/9	1000 LV	3.0	43	41	Obama +2
Quinnipiac	9/27 - 10/3	2118 RV	2.1	42	46	Romney +4
ABC News/Wash Post	9/29 - 10/2	RV	--	46	48	Romney +2
Pew Research	9/22 - 10/4	1901 RV	3.0	48	48	Tie
Rasmussen Reports	9/28 - 9/29	1000 LV	3.0	42	44	Romney +2
FOX News	9/25 - 9/27	925 RV	3.0	45	42	Obama +3
CNN/Opinion Research	9/23 - 9/25	917 RV	3.0	49	48	Obama +1
Rasmussen Reports	9/18 - 9/19	1000 LV	3.0	44	41	Obama +3
USA Today/Gallup	9/15 - 9/18	889 RV	4.0	47	49	Romney +2
McClatchy/Marist	9/13 - 9/14	825 RV	3.5	46	44	Obama +2
Bloomberg	9/9 - 9/12	997 A	3.1	48	43	Obama +5
Reuters/Ipsos	9/8 - 9/12	932 RV	3.1	49	43	Obama +6
Rasmussen Reports	9/10 - 9/11	1000 LV	3.0	40	43	Romney +3
PPP (D)	9/8 - 9/11	665 RV	3.8	49	45	Obama +4
ABC News/Wash Post	8/29 - 9/1	RV	--	45	49	Romney +4
NBC News/Wall St. Jrnl	8/27 - 8/31	RV	--	46	45	Obama +1
Rasmussen Reports	8/25 - 8/26	1000 LV	3.0	43	39	Obama +4
Quinnipiac	8/16 - 8/27	2730 RV	1.9	45	45	Tie
PPP (D)	8/18 - 8/21	700 RV	3.7	45	45	Tie
Rasmussen Reports	8/17 - 8/21	1000 LV	3.0	46	38	Obama +8
Gallup	8/17 - 8/18	879 RV	4.0	46	48	Romney +2
Democracy Corps (D)	8/6 - 8/10	1000 LV	3.0	48	46	Obama +2
CNN/Opinion Research	8/5 - 8/7	930 RV	3.0	49	48	Obama +1
McClatchy/Marist	8/2 - 8/4	807 RV	3.5	46	41	Obama +5
FOX News	7/17 - 7/19	904 RV	3.0	47	41	Obama +6
ABC News/Wash Post	7/14 - 7/17	RV	--	49	47	Obama +2
NBC News/Wall St. Jrnl	7/14 - 7/17	RV	--	48	41	Obama +7
PPP (D)	7/15 - 7/17	928 RV	3.2	45	45	Tie
Rasmussen Reports	7/14 - 7/15	1000 LV	3.0	42	43	Romney +1
Quinnipiac	7/5 - 7/11	2311 RV	2.0	47	41	Obama +6
McClatchy/Marist	6/15 - 6/23	390 RV	5.0	46	42	Obama +4
Democracy Corps (D)	6/18 - 6/21	1000 RV	3.0	47	45	Obama +2
NBC News/Wall St. Jrnl	6/9 - 6/13	RV	3.1	49	43	Obama +6
PPP (D)	6/9 - 6/12	520 RV	4.3	47	45	Obama +2
FOX News	6/5 - 6/7	912 RV	3.0	48	41	Obama +7
Reuters/Ipsos	6/3 - 6/6	1132 A	3.0	51	38	Obama +13
ABC News/Wash Post	6/2 - 6/5	RV	3.5	46	49	Romney +3
Quinnipiac	5/31 - 6/6	1946 RV	2.2	47	41	Obama +6
PPP (D)	5/23 - 5/25	600 RV	4.0	49	42	Obama +7
Democracy Corps (D)	5/21 - 5/25	1000 LV	3.0	48	44	Obama +4
Politico/GWU/Battleground	5/8 - 5/12	1000 LV	3.1	52	40	Obama +12
Reuters/Ipsos	5/5 - 5/9	600 A	--	51	38	Obama +13
PPP (D)	5/5 - 5/8	814 RV	3.4	47	42	Obama +5
Newsweek/Daily Beast	5/2 - 5/3	600 A	3.0	42	36	Obama +6
Newsweek/Daily Beast	4/30 - 5/1	600 A	3.0	44	44	Tie
CNN/Opinion Research	4/29 - 5/1	964 RV	3.0	54	43	Obama +11
ABC News/Wash Post	4/14 - 4/17	1001 A	3.5	49	45	Obama +4
McClatchy/Marist	4/10 - 4/14	532 RV	4.5	46	45	Obama +1
Democracy Corps (D)	4/10 - 4/12	1000 LV	3.1	46	48	Romney +2
PPP (D)	4/7 - 4/10	532 RV	4.3	47	41	Obama +6
PPP (D)	3/10 - 3/13	642 RV	3.9	47	42	Obama +5
Rasmussen Reports	3/6 - 3/9	2000 LV	2.0	45	40	Obama +5
NBC News/Wall St. Jrnl	2/24 - 2/28	RV	--	49	40	Obama +9
Newsweek/Daily Beast	2/12 - 2/15	918 LV	3.5	49	47	Obama +2
PPP (D)	2/11 - 2/14	600 RV	4.0	46	41	Obama +5
FOX News	2/7 - 2/9	911 RV	3.0	48	41	Obama +7
PPP (D)	1/14 - 1/16	632 RV	3.9	48	43	Obama +5
Democracy Corps (D)	1/9 - 1/12	1000 LV	3.0	48	46	Obama +2
McClatchy/Marist	1/6 - 1/10	827 RV	3.5	51	38	Obama +13
Rasmussen Reports	1/3 - 1/6	2000 LV	--	42	44	Romney +2
NBC News/Wall St. Jrnl	12/9 - 12/13	1000 A	3.1	47	40	Obama +7
McClatchy/Marist	12/2 - 12/8	873 RV	3.5	44	46	Romney +2
PPP (D)	11/19 - 11/21	707 RV	3.7	47	46	Obama +1
Quinnipiac	11/8 - 11/15	2424 RV	2.0	44	45	Romney +1
CNN/Opinion Research	10/27 - 10/30	921 RV	3.0	45	50	Romney +5
FOX News	9/28 - 9/29	900 RV	3.0	41	40	Obama +1
PPP (D)	9/10 - 9/13	590 RV	4.0	46	43	Obama +3
PPP (D)	8/6 - 8/9	606 RV	4.0	45	42	Obama +3
PPP (D)	7/9 - 7/12	667 RV	3.8	43	46	Romney +3
PPP (D)	6/4 - 6/7	650 RV	3.8	45	42	Obama +3
PPP (D)	5/7 - 5/9	707 RV	3.7	46	44	Obama +2
PPP (D)	4/9 - 4/11	622 RV	3.9	44	45	Romney +1
CNN/Opinion Research	4/9 - 4/11	907 RV	3.5	53	45	Obama +8
PPP (D)	3/12 - 3/14	1403 RV	2.6	44	44	Tie
PPP (D)	2/13 - 2/15	743 RV	3.6	45	43	Obama +2
PPP (D)	1/18 - 1/19	1151 RV	2.8	44	42	Obama +2
FOX News	1/12 - 1/14	900 RV	3.0	47	35	Obama +12
PPP (D)	12/4 - 12/7	1253 RV	2.8	47	42	Obama +5
Rasmussen Reports	11/24 - 11/24	800 LV	3.5	44	44	Tie
PPP (D)	11/13 - 11/15	1066 RV	3.0	48	43	Obama +5
PPP (D)	10/16 - 10/19	766 RV	3.5	48	40	Obama +8
PPP (D)	9/18 - 9/21	621 RV	3.9	48	39	Obama +9
PPP (D)	8/14 - 8/17	909 RV	3.3	47	40	Obama +7
Rasmussen Reports	7/16 - 7/17	1000 LV	3.0	45	45	Tie
PPP (D)	7/15 - 7/16	577 RV	4.1	49	40	Obama +9
PPP (D)	6/12 - 6/16	638 RV	3.9	48	40	Obama +8
PPP (D)	5/14 - 5/18	1000 RV	3.1	53	35	Obama +18
PPP (D)	4/17 - 4/19	686 RV	3.7	50	39	Obama +11
