State,vote_pop,older_pop,per_black,per_hisp,per_white,per_older,per_vote,educ_hs,educ_coll,average_income,median_income,pop_density
Alabama,3323678.0,579798.0,25.9928942457,1.70515616919,70.2889298644,13.0376649952,74.7380989859,75.3,19.0,18189,21188,87.6
Alaska,436215.0,35699.0,3.47517753122,4.12357321049,67.597123771,5.69423797158,69.5793164171,88.3,24.7,22660,25776,1.1
Arizona,3763685.0,667839.0,3.09655808485,25.2525809686,63.8178298502,13.0167004767,73.3571419661,81.0,23.5,20275,22428,45.2
Arkansas,1993031.0,374019.0,15.6710555846,3.24927059176,78.5567068153,13.9903867734,74.5504226827,75.3,16.7,16904,19590,51.3
California,24621819.0,3595658.0,6.68370786092,32.3768007981,46.6962516852,10.61553899,72.6915295057,76.8,26.6,22711,25026,217.2
Colorado,3200466.0,416073.0,3.83754903504,17.1019847435,74.4637444694,9.67327953361,74.4076213929,86.9,32.7,24049,25318,41.5
Connecticut,2563877.0,470183.0,9.09813790076,9.40586951064,77.4862614573,13.8063140771,75.2849233534,84.0,31.4,28766,30409,702.9
Delaware,589013.0,101726.0,19.2274119449,4.75714650332,72.4825165901,12.9818785094,75.1675599796,82.6,25.0,23305,25910,401.1
District of Columbia,457067.0,69898.0,60.0133902272,7.85810554506,27.8254515706,12.2186697526,79.898576895,77.8,39.1,28659,27010,9316.4
Florida,12336038.0,2807597.0,14.6130006436,16.7854558314,65.4377527549,17.5668289162,77.1852474019,79.9,22.3,21557,22050,296.4
Georgia,6017219.0,785275.0,28.7003663247,5.31642947196,62.6481456621,9.59237169016,73.5021504429,78.6,24.3,21154,24111,141.4
Hawaii,915770.0,160601.0,1.8161228258,7.23865635139,22.8710307651,13.2559715469,75.5874562642,84.6,26.2,21525,24736,188.6
Idaho,924923.0,145916.0,0.421653645843,7.85886349813,88.0473247483,11.2767619844,71.4804169858,84.7,21.7,17841,19515,15.6
Illinois,9173842.0,1500025.0,15.1125752488,12.3216514821,67.8310754082,12.0781835166,73.8676670242,81.4,26.1,23104,25890,223.4
Indiana,4506089.0,752831.0,8.38804799288,3.52827118232,85.838103375,12.3811011786,74.1073943937,82.1,19.4,20397,23229,169.5
Iowa,2192686.0,436213.0,2.11367572422,2.81831403495,92.6194091973,14.9065175285,74.9297070318,86.1,21.2,19674,21406,52.4
Kansas,1975425.0,356229.0,5.73564081181,7.00233371447,83.0970853491,13.2505064317,73.4790869575,86.0,25.8,20506,22149,32.9
Kentucky,3046951.0,504793.0,7.3233774617,1.48298925545,89.2681645092,12.4894074847,75.3865695937,74.1,17.1,18093,20951,101.7
Louisiana,3249177.0,516929.0,32.4894114446,2.41079835739,62.5286642846,11.5670569723,72.705178994,74.8,18.7,16912,20522,102.6
Maine,973685.0,183402.0,0.53022810005,0.734161984685,96.4997101786,14.3853393499,76.372063254,85.4,22.9,19533,21285,41.3
Maryland,3940314.0,599307.0,27.8941736087,4.30315495972,62.0514620448,11.3151814241,74.3948723739,83.8,31.4,25614,29262,541.9
Massachusetts,4849033.0,860162.0,5.409493665,6.75259804662,81.8755643519,13.5477848267,76.3735850941,84.8,33.2,25952,28420,809.8
Michigan,7342677.0,1219018.0,14.21492137,3.25883005428,78.550435058,12.265682636,73.8815553018,83.4,21.8,22168,25271,175.0
Minnesota,3632585.0,594266.0,3.49083713946,2.91457692979,88.1626489309,12.0798564238,73.8408477808,87.9,27.4,23198,25505,61.8
Mississippi,2069471.0,343523.0,36.3421191581,1.39099322309,60.7422052141,12.0760738198,72.7493779569,72.9,16.9,15853,19715,60.6
Missouri,4167519.0,755379.0,11.2487446854,2.11952685967,83.7586643292,13.500456015,74.483678989,81.3,21.6,19936,21751,81.2
Montana,672133.0,120949.0,0.298383387183,2.00411219304,89.5397336496,13.4060818337,74.4997478372,87.2,24.4,17151,17232,6.2
Nebraska,1261021.0,232195.0,4.00528732287,5.51785435669,87.3328062373,13.5686332259,73.6894913289,86.6,23.7,19613,21195,22.3
Nevada,1486458.0,218929.0,6.77975855958,19.7156822171,65.206877794,10.9559981524,74.3877289057,80.7,18.2,21989,24614,18.2
New Hampshire,926224.0,147970.0,0.731113639417,1.65797314422,95.101579076,11.9737559739,74.9501936419,87.4,28.7,23844,25905,137.8
New Jersey,6326792.0,1113136.0,13.5699251873,13.2772109551,66.0444241088,13.2290194727,75.1905019401,82.1,29.8,27006,30439,1134.4
New Mexico,1310472.0,212225.0,1.88796764898,42.0762311673,44.7209691234,11.6668297558,72.0417185712,78.9,23.5,17261,19427,15.0
New York,14286350.0,2448352.0,15.8848672331,15.1112665552,61.9766956498,12.9020501561,75.2846013352,79.1,27.4,23389,26247,401.9
North Carolina,6085266.0,969048.0,21.5862521435,4.70801669658,70.1569810989,12.0388907724,75.5998182702,78.1,22.5,20307,22276,165.2
North Dakota,481351.0,94478.0,0.609778885083,1.21239489256,91.7391778262,14.7116163189,74.9534412955,83.9,22.0,17769,18550,9.3
Ohio,8464801.0,1507757.0,11.4620889023,1.91244889079,84.0129779074,13.2805285586,74.5591175657,83.0,21.1,21003,23949,277.3
Oklahoma,2558294.0,455950.0,7.56285620059,5.19623236639,74.0835795185,13.2134372209,74.1393950248,80.6,20.3,17646,19960,50.3
Oregon,2574873.0,438177.0,1.62687836175,8.04682528989,83.5218575793,12.8069541144,75.2578988887,85.1,25.1,20940,22200,35.6
Pennsylvania,9358833.0,1919165.0,9.97155455875,3.208910245,84.0518655809,15.6270382005,76.2054543527,81.9,22.4,20880,23714,274.0
Rhode Island,800497.0,152402.0,4.47459218043,8.66339348996,81.8866203894,14.5377504367,76.360058341,78.0,25.6,21688,24007,1003.2
South Carolina,3002371.0,485333.0,29.541686316,2.36978354003,66.1087504225,12.0969977159,74.8345468558,76.3,20.4,18795,21571,133.2
South Dakota,552195.0,108131.0,0.620658043251,1.44440440674,88.0426949144,14.3249466115,73.1535257616,84.6,21.5,17562,19276,9.9
Tennessee,4290762.0,703311.0,16.3958973389,2.17668904851,79.2003139939,12.3620322631,75.418326,75.9,19.6,19393,21700,138.0
Texas,14965061.0,2072532.0,11.5316840448,31.9860136909,52.4333751203,9.93933383273,71.7686082078,75.7,23.2,19617,22142,79.6
Utah,1514471.0,190222.0,0.790670119458,9.02569398017,85.2718714974,8.5180297595,67.8171244541,87.7,26.1,18185,20583,27.2
Vermont,461304.0,77510.0,0.50309858137,0.904033493915,96.1572006498,12.731038538,75.7693072088,86.4,29.4,20625,21497,65.8
Virginia,5340253.0,792333.0,19.6410264017,4.65549624462,70.1508296585,11.1934918553,75.4431261359,81.5,29.5,23975,25357,178.8
Washington,4380278.0,662148.0,3.228080998,7.49066739553,78.934416175,11.2340415136,74.3160515368,87.1,27.7,22973,25498,88.6
West Virginia,1405951.0,276895.0,3.16488455736,0.679019036201,94.5597740253,15.3120755785,77.7479837907,75.2,14.8,16477,19159,75.1
Wisconsin,3994919.0,702553.0,5.67633199252,3.59680629419,87.283998378,13.0983514102,74.4810041623,85.1,22.4,21271,23601,98.8
Wyoming,364909.0,57693.0,0.753773932626,6.41355901997,88.8649241973,11.6839009927,73.900830731,87.9,21.9,19134,19763,5.1
